0.785705	0.785705	
1.700111	1.700111	
2.680217	2.680217	
3.690924	3.690924	
4.708830	4.708830	
5.684437	5.684437	
6.707743	6.707743	
7.713050	7.713050	
8.690456	8.690456	
9.684962	9.684962	
10.731669	10.731669	
11.729776	11.729776	
12.733282	12.733282	
13.734089	13.734089	
14.730395	14.730395	
15.716801	15.716801	
16.743708	16.743708	
17.700414	17.700414	
18.681420	18.681420	
19.699327	19.699327	
20.740634	20.740634	
21.727040	21.727040	
22.717046	22.717046	
23.742153	23.742153	
24.771760	24.771760	
25.745566	25.745566	
26.730172	26.730172	
27.707579	27.707579	
28.754285	28.754285	
29.748792	29.748792	
30.695598	30.695598	
31.719804	31.719804	
32.701711	32.701711	
33.681817	33.681817	
34.696124	34.696124	
35.712230	35.712230	
37.753443	37.753443	
38.799250	38.799250	
39.725356	39.725356	
40.718962	40.718962	
41.679269	41.679269	
42.719675	42.719675	
43.725882	43.725882	
44.745588	44.745588	
45.746395	45.746395	
46.734601	46.734601	
47.712007	47.712007	
48.764114	48.764114	
49.760421	49.760421	
50.754927	50.754927	
51.773734	51.773734	
52.766440	52.766440	
53.742946	53.742946	
54.652852	54.652852	
55.756259	55.756259	
56.754366	56.754366	
57.756972	57.756972	
58.743379	58.743379	
59.737885	59.737885	
60.734191	60.734191	
61.735898	61.735898	
62.730404	62.730404	
63.721311	63.721311	
64.751817	64.751817	
65.740024	65.740024	
66.739930	66.739930	
67.707436	67.707436	
68.744243	68.744243	
69.754950	69.754950	
70.765656	70.765656	
71.758362	71.758362	
72.754669	72.754669	
73.721275	73.721275	
74.748182	74.748182	
75.733688	75.733688	
76.717394	76.717394	
77.751501	77.751501	
78.746007	78.746007	
79.750414	79.750414	
80.757520	80.757520	
81.741227	81.741227	
82.725833	82.725833	
83.733840	83.733840	
84.760746	84.760746	
85.801153	85.801153	
86.728159	86.728159	
87.688465	87.688465	
88.730672	88.730672	
89.725178	89.725178	
90.708885	90.708885	
91.735791	91.735791	
92.730298	92.730298	
93.726604	93.726604	
94.713910	94.713910	
95.704817	95.704817	
96.756924	96.756924	
97.763130	97.763130	
98.773837	98.773837	
99.771043	99.771043	
