3.208729	3.208729	
15.143086	15.143086	
27.142768	27.142768	
39.181334	39.181334	
51.237010	51.237010	
63.191586	63.191586	
75.161716	75.161716	
87.157495	87.157495	
99.143457	99.143457	
111.201715	111.201715	
123.181973	123.181973	
135.189573	135.189573	
147.155115	147.155115	
159.150228	159.150228	
171.118859	171.118859	
183.210556	183.210556	
195.105970	195.105970	
207.197667	207.197667	
219.132026	219.132026	
231.133370	231.133370	
243.151850	243.151850	
255.111134	255.111134	
267.123383	267.123383	
279.160287	279.160287	
291.168072	291.168072	
